OpenVPN — normālie tīkla apstākļi — neapstrādātie mērījumi,,,,,,,,,,
Risinājums,Scenārijs,Virziens,Iterācija,Caurlaidspēja (Mbps),Aizture vid. (ms),Aizture min. (ms),Aizture maks. (ms),CPU (%),Paketes zudums (%),Savienojuma laiks (s)
OpenVPN,Attālinātā piekļuve,VM3-VM1,1,321,0.594,0.417,1.362,52.5,0,0.056
OpenVPN,Attālinātā piekļuve,VM3-VM1,2,317,0.554,0.358,0.952,45.18,0,0.044
OpenVPN,Attālinātā piekļuve,VM3-VM1,3,329,0.605,0.38,2.172,44.73,0,0.047
OpenVPN,Attālinātā piekļuve,VM3-VM1,4,330,0.598,0.387,3.519,47.75,0,0.042
OpenVPN,Attālinātā piekļuve,VM3-VM1,5,311,0.532,0.37,2.276,54.24,0,0.05
OpenVPN,Attālinātā piekļuve,VM3-VM1,6,313,0.526,0.387,1.174,41.86,0,0.046
OpenVPN,Attālinātā piekļuve,VM3-VM1,7,322,0.58,0.374,1.168,44.95,0,0.055
OpenVPN,Attālinātā piekļuve,VM3-VM1,8,321,0.576,0.394,2.278,41.41,0,0.049
OpenVPN,Attālinātā piekļuve,VM3-VM1,9,332,0.558,0.358,0.953,46.89,0,0.059
OpenVPN,Attālinātā piekļuve,VM3-VM1,10,322,0.577,0.389,1.217,41.71,0,0.051
OpenVPN,LAN-LAN,VM1-VM2,1,286,0.608,0.431,1.364,56.03,0,110.3
OpenVPN,LAN-LAN,VM1-VM2,2,294,0.591,0.409,1.164,52.73,0,116.323
OpenVPN,LAN-LAN,VM1-VM2,3,285,0.868,0.428,1.995,48.5,0,114.313
OpenVPN,LAN-LAN,VM1-VM2,4,267,0.658,0.448,4.125,51.5,0,106.3
OpenVPN,LAN-LAN,VM1-VM2,5,295,0.627,0.401,4.713,48.12,0,116.315
OpenVPN,LAN-LAN,VM1-VM2,6,288,0.611,0.418,0.967,54.5,0,106.297
OpenVPN,LAN-LAN,VM1-VM2,7,260,0.524,0.415,0.725,49.38,0,106.317
OpenVPN,LAN-LAN,VM1-VM2,8,258,0.546,0.365,0.805,48.74,0,116.32
OpenVPN,LAN-LAN,VM1-VM2,9,263,0.58,0.347,1.952,45.45,0,112.307
OpenVPN,LAN-LAN,VM1-VM2,10,263,0.618,0.399,1.025,49,0,112.305
OpenVPN,LAN-LAN,VM2-VM1,1,293,0.634,0.466,0.979,65.04,0,1.057
OpenVPN,LAN-LAN,VM2-VM1,2,281,0.608,0.441,1.027,47.5,0,1.054
OpenVPN,LAN-LAN,VM2-VM1,3,288,0.604,0.419,0.881,54.23,0,1.064
OpenVPN,LAN-LAN,VM2-VM1,4,300,0.603,0.449,1.179,49.75,0,1.051
OpenVPN,LAN-LAN,VM2-VM1,5,276,0.708,0.454,1.506,62.12,0,0.053
OpenVPN,LAN-LAN,VM2-VM1,6,265,0.585,0.425,0.863,46.3,0,0.056
OpenVPN,LAN-LAN,VM2-VM1,7,268,0.584,0.385,0.887,49.75,0,0.045
OpenVPN,LAN-LAN,VM2-VM1,8,307,0.546,0.387,1.109,45.58,0,0.054
OpenVPN,LAN-LAN,VM2-VM1,9,275,0.567,0.397,0.822,63.76,0,1.053
OpenVPN,LAN-LAN,VM2-VM1,10,254,0.591,0.389,2.011,46.46,0,1.058
OpenVPN,Mākoņintegrācija,VM1-VM4,1,272,0.667,0.455,1.669,54.8,0,108.251
OpenVPN,Mākoņintegrācija,VM1-VM4,2,268,0.592,0.422,1.18,53.4,0,109.045
OpenVPN,Mākoņintegrācija,VM1-VM4,3,281,0.687,0.446,1.175,57.1,0,116.309
OpenVPN,Mākoņintegrācija,VM1-VM4,4,259,0.626,0.414,2.534,57.6,0,114.726
OpenVPN,Mākoņintegrācija,VM1-VM4,5,274,0.585,0.394,0.857,51.6,0,116.311
OpenVPN,Mākoņintegrācija,VM1-VM4,6,266,0.623,0.385,1.031,55.2,0,114.64
OpenVPN,Mākoņintegrācija,VM1-VM4,7,285,0.676,0.434,2.513,52.8,0,116.334
OpenVPN,Mākoņintegrācija,VM1-VM4,8,261,0.619,0.432,1.14,50.9,0,112.303
OpenVPN,Mākoņintegrācija,VM1-VM4,9,277,0.673,0.47,1.164,56.3,0,116.311
OpenVPN,Mākoņintegrācija,VM1-VM4,10,269,0.617,0.424,0.929,53.7,0,114.302
