Kvalitatīvo kritēriju novērtējums — kopsavilkums,,,,,
Kritērijs,IPsec,OpenVPN,WireGuard,ZeroTier,Netmaker
Konfigurācijas sarežģītība,1,2,2,4,3
Pārvaldāmība un mērogojamība,1,2,1,4,4
Drošības arhitektūra,3,3,2,3,4
Izmaksas un ārējā atkarība,5,5,5,2,4
,,,,,
Normalizētās vērtības (Punkti−1)/4,,,,,
Kritērijs,IPsec,OpenVPN,WireGuard,ZeroTier,Netmaker
Konfigurācijas sarežģītība,0,0.25,0.25,0.75,0.5
Pārvaldāmība un mērogojamība,0,0.25,0,0.75,0.75
Drošības arhitektūra,0.5,0.5,0.25,0.5,0.75
Izmaksas un ārējā atkarība,1,1,1,0.25,0.75
