SAW aprēķins — Mākoņintegrācija scenārijs,,,,,,,
,,,,,,,
1. Kvantitatīvie kritēriji — izmērītās vidējās vērtības,,,,,,,
Kritērijs,Svars,Optimums,IPsec,Netmaker,OpenVPN,WireGuard,ZeroTier
Caurlaidspēja (Mbps),0.18,Max,520.5,1026.4,271.2,524.1,576
Aizture (ms),0.18,Min,0.3167,0.6116,0.6365,0.4693,0.6926
CPU (%),0.05,Min,51.242,74.6,54.34,57.6,54.498
Paketes zudums (%),0.04,Min,0,0,0,0,0
Savienojuma laiks (s),0.05,Min,2.0769,19.3297,113.8532,0.0589,3.0804
,,,,,,,
2. Kvantitatīvie kritēriji — normalizētās vērtības [0;1],,,,,,,
Kritērijs,Svars,Optimums,IPsec,Netmaker,OpenVPN,WireGuard,ZeroTier
Caurlaidspēja (Mbps),0.18,Max,0.3301,1,0,0.3349,0.4036
Aizture (ms),0.18,Min,1,0.2155,0.1492,0.594,0
CPU (%),0.05,Min,1,0,0.8674,0.7278,0.8606
Paketes zudums (%),0.04,Min,0,0,0,0,0
Savienojuma laiks (s),0.05,Min,0.9823,0.8307,0,1,0.9734
,,,,,,,
3. Kvalitatīvie kritēriji — piešķirtie punkti (1–5),,,,,,,
Kritērijs,Svars,Optimums,IPsec,Netmaker,OpenVPN,WireGuard,ZeroTier
Konfigurācijas sarežģītība,0.14,Max,1,3,2,2,4
Pārvaldāmība un mērogojamība,0.16,Max,1,4,2,1,4
Drošības arhitektūra,0.16,Max,3,4,3,2,3
Izmaksas un ārējā atkarība,0.04,Max,5,4,5,5,2
,,,,,,,
4. Kvalitatīvie kritēriji — normalizētās vērtības [0;1]  (Punkti − 1) / 4,,,,,,,
Kritērijs,Svars,Optimums,IPsec,Netmaker,OpenVPN,WireGuard,ZeroTier
Konfigurācijas sarežģītība,0.14,Max,0,0.5,0.25,0.25,0.75
Pārvaldāmība un mērogojamība,0.16,Max,0,0.75,0.25,0,0.75
Drošības arhitektūra,0.16,Max,0.5,0.75,0.5,0.25,0.5
Izmaksas un ārējā atkarība,0.04,Max,1,0.75,1,1,0.25
,,,,,,,
5. SAW score = Σ (svars × normalizētā vērtība),,,,,,,
,,,IPsec,Netmaker,OpenVPN,WireGuard,ZeroTier
SAW score,,,0.4585,0.6003,0.2652,0.3686,0.4793
